LeftRight,Area,Test_Year,Test_Quarter,Brand,Size,Make,Number_of_Owners,Age_as_of_Test,Liveline_Usage,PreArrange_Usage,Number_of_Usage,Leakage_mA,Test_Result
Right,North,2025,Q2,Honeywell,7,Composite,4,2.5,175.0,518.0,693.0,3.547,Fail
Right,Central,2024,Q2,3M,10,Latex Rubber,2,0.75,515.0,507.0,1022.0,1.655,Pass
Left,Central,2023,Q1,Novax,9,Composite,3,2.5,802.0,858.0,1660.0,2.848,Pass
Right,South,2024,Q3,CATU,9,EPDM,3,3.75,842.0,776.0,1618.0,5.231,Fail
Left,North,2025,Q1,CATU,9,Composite,4,4.0,867.0,680.0,1547.0,3.233,Fail
Right,Central,2025,Q4,3M,7,Latex Rubber,2,0.25,815.0,10.0,825.0,1.19,Pass
Left,South,2025,Q1,3M,10,EPDM,4,1.0,1182.0,504.0,1686.0,2.457,Pass
Right,South,2024,Q1,Honeywell,8,Composite,4,1.25,770.0,665.0,1435.0,2.952,Pass
Right,South,2025,Q4,CATU,10,EPDM,2,1.5,842.0,721.0,1563.0,2.712,Pass
Right,North,2023,Q2,Novax,8,EPDM,4,1.0,292.0,122.0,414.0,0.973,Pass
Right,North,2024,Q2,3M,7,Latex Rubber,3,0.75,388.0,489.0,877.0,1.026,Pass
Left,South,2023,Q2,CATU,7,Composite,4,3.75,207.0,605.0,812.0,2.922,Pass
Right,South,2023,Q3,CATU,8,Latex Rubber,2,3.75,1024.0,670.0,1694.0,3.384,Fail
Left,South,2024,Q4,3M,8,Latex Rubber,2,0.25,1033.0,683.0,1716.0,2.006,Pass
Left,South,2024,Q4,3M,8,Latex Rubber,3,1.25,565.0,472.0,1037.0,1.639,Pass
Left,North,2024,Q1,CATU,10,EPDM,2,1.5,365.0,165.0,530.0,0.855,Pass
Left,South,2024,Q3,Honeywell,8,EPDM,2,1.0,1050.0,274.0,1324.0,2.669,Pass
Right,North,2024,Q2,CATU,7,EPDM,3,2.5,648.0,60.0,708.0,2.063,Pass
Left,Central,2023,Q3,Honeywell,7,Latex Rubber,4,2.5,388.0,232.0,620.0,1.599,Pass
Left,Central,2024,Q4,Honeywell,9,EPDM,3,3.5,689.0,853.0,1542.0,3.529,Fail
Left,Central,2023,Q4,3M,8,EPDM,4,3.0,515.0,153.0,668.0,2.585,Pass
Right,North,2023,Q1,Honeywell,10,EPDM,3,2.25,908.0,50.0,958.0,1.526,Pass
Right,North,2024,Q1,Novax,10,EPDM,4,2.5,85.0,148.0,233.0,2.051,Pass
Right,South,2024,Q4,Honeywell,10,Latex Rubber,3,1.0,240.0,754.0,994.0,1.221,Pass
Right,North,2024,Q2,Honeywell,9,Composite,4,2.25,971.0,788.0,1759.0,3.976,Fail
Left,South,2024,Q2,CATU,7,Latex Rubber,3,2.0,311.0,636.0,947.0,2.514,Pass
Left,North,2024,Q3,Honeywell,10,EPDM,4,0.5,735.0,344.0,1079.0,1.346,Pass
Right,Central,2025,Q4,Honeywell,7,Latex Rubber,3,1.0,224.0,417.0,641.0,1.054,Pass
Left,Central,2024,Q4,Honeywell,9,EPDM,2,1.25,1191.0,736.0,1927.0,2.669,Pass
Left,North,2024,Q2,Novax,8,EPDM,4,3.75,78.0,524.0,602.0,3.211,Fail
Left,Central,2023,Q2,3M,8,Latex Rubber,3,1.0,402.0,348.0,750.0,1.512,Pass
Right,North,2023,Q4,3M,8,Composite,4,1.25,1118.0,391.0,1509.0,2.237,Pass
Right,North,2024,Q1,Honeywell,10,Latex Rubber,4,1.5,276.0,477.0,753.0,1.832,Pass
Left,South,2024,Q4,Novax,8,EPDM,3,2.75,1102.0,279.0,1381.0,2.753,Pass
Right,Central,2024,Q4,3M,10,EPDM,4,0.5,620.0,357.0,977.0,1.283,Pass
Right,South,2024,Q2,CATU,9,Composite,3,3.75,1018.0,70.0,1088.0,2.299,Pass
Right,North,2024,Q2,3M,9,EPDM,2,3.5,971.0,83.0,1054.0,3.66,Fail
Right,South,2025,Q1,CATU,10,Composite,4,2.25,737.0,602.0,1339.0,2.892,Pass
Right,South,2025,Q1,Honeywell,7,Composite,2,2.75,682.0,640.0,1322.0,2.616,Pass
Left,South,2024,Q3,Honeywell,8,Composite,4,0.0,432.0,206.0,638.0,1.824,Pass
Right,Central,2025,Q4,CATU,8,Composite,4,1.25,124.0,666.0,790.0,1.742,Pass
Left,Central,2023,Q2,CATU,8,Latex Rubber,4,3.25,229.0,562.0,791.0,2.281,Pass
Left,Central,2023,Q1,3M,10,Latex Rubber,3,0.25,40.0,117.0,157.0,1.007,Pass
Right,South,2023,Q3,CATU,9,EPDM,2,1.25,1163.0,95.0,1258.0,2.319,Pass
Left,South,2024,Q3,Honeywell,8,EPDM,4,2.25,626.0,145.0,771.0,2.429,Pass
Left,South,2025,Q2,Novax,9,Composite,3,1.0,548.0,293.0,841.0,1.394,Pass
Left,North,2023,Q2,Novax,8,EPDM,4,3.75,748.0,734.0,1482.0,3.922,Fail
Right,South,2025,Q3,3M,8,Latex Rubber,3,0.5,1035.0,593.0,1628.0,1.909,Pass
Right,South,2023,Q1,Novax,10,Latex Rubber,4,3.25,880.0,415.0,1295.0,3.531,Fail
Left,North,2025,Q3,Honeywell,7,EPDM,2,2.0,110.0,381.0,491.0,0.889,Pass
Right,North,2024,Q4,Honeywell,10,Latex Rubber,2,3.0,1091.0,388.0,1479.0,3.064,Fail
Right,South,2023,Q4,Honeywell,8,Composite,4,1.25,701.0,850.0,1551.0,3.244,Fail
Right,South,2024,Q2,CATU,8,Latex Rubber,3,2.0,950.0,156.0,1106.0,2.012,Pass
Right,South,2023,Q1,CATU,7,Composite,4,3.5,350.0,839.0,1189.0,2.993,Pass
Left,North,2023,Q1,3M,9,EPDM,3,1.75,870.0,755.0,1625.0,2.501,Pass
Left,South,2023,Q4,3M,9,EPDM,4,1.5,1053.0,631.0,1684.0,2.033,Pass
Right,North,2025,Q3,3M,8,EPDM,3,2.25,47.0,323.0,370.0,0.766,Pass
Right,North,2024,Q2,Honeywell,9,Composite,2,2.75,669.0,373.0,1042.0,2.635,Pass
Left,North,2023,Q3,Honeywell,8,Latex Rubber,4,1.75,937.0,610.0,1547.0,2.723,Pass
Left,South,2024,Q3,Honeywell,7,Composite,2,3.75,1059.0,564.0,1623.0,3.797,Fail
Right,South,2024,Q3,3M,7,EPDM,2,1.25,463.0,707.0,1170.0,1.968,Pass
Left,Central,2023,Q1,Novax,8,Composite,4,2.0,746.0,466.0,1212.0,2.512,Pass
Right,Central,2024,Q4,Novax,7,Composite,4,3.0,828.0,16.0,844.0,3.221,Fail
Right,South,2023,Q1,Honeywell,10,EPDM,3,2.75,782.0,160.0,942.0,2.565,Pass
Left,Central,2023,Q4,Novax,10,EPDM,3,3.5,22.0,688.0,710.0,2.577,Pass
Left,South,2024,Q2,Honeywell,7,Composite,2,4.0,924.0,481.0,1405.0,3.624,Fail
Right,Central,2023,Q2,Novax,8,Composite,3,1.75,930.0,405.0,1335.0,2.754,Pass
Right,Central,2024,Q3,3M,8,EPDM,3,0.5,834.0,812.0,1646.0,2.762,Pass
Left,Central,2024,Q4,CATU,7,Latex Rubber,4,0.0,380.0,181.0,561.0,0.491,Pass
Right,Central,2023,Q4,3M,9,Latex Rubber,3,3.0,341.0,345.0,686.0,2.617,Pass
Left,South,2024,Q4,3M,10,Composite,2,3.5,270.0,61.0,331.0,2.692,Pass
Right,Central,2023,Q3,3M,9,EPDM,3,1.0,706.0,859.0,1565.0,1.762,Pass
Left,North,2025,Q3,Honeywell,8,Composite,2,0.75,696.0,856.0,1552.0,2.12,Pass
Left,South,2024,Q2,Honeywell,8,Composite,4,0.25,959.0,452.0,1411.0,0.975,Pass
Left,Central,2025,Q1,Honeywell,9,EPDM,2,3.25,396.0,207.0,603.0,1.746,Pass
Right,Central,2024,Q4,3M,7,EPDM,3,1.25,830.0,701.0,1531.0,2.549,Pass
Right,South,2023,Q4,Novax,9,Composite,4,1.5,477.0,637.0,1114.0,1.936,Pass
Left,South,2024,Q1,Honeywell,9,Composite,3,2.0,78.0,742.0,820.0,2.239,Pass
Right,North,2025,Q4,CATU,10,Composite,4,3.25,1137.0,206.0,1343.0,3.287,Fail
Left,South,2024,Q3,Honeywell,10,Latex Rubber,4,2.5,1194.0,334.0,1528.0,2.562,Pass
Left,South,2025,Q3,CATU,9,Latex Rubber,3,2.5,209.0,367.0,576.0,2.171,Pass
Right,Central,2025,Q4,CATU,9,Composite,3,0.75,225.0,896.0,1121.0,1.105,Pass
Right,North,2023,Q3,Novax,8,Composite,4,2.0,221.0,458.0,679.0,2.707,Pass
Left,South,2023,Q3,CATU,10,Latex Rubber,4,2.75,517.0,360.0,877.0,1.924,Pass
Right,South,2024,Q4,Honeywell,10,Latex Rubber,3,4.0,25.0,220.0,245.0,2.623,Pass
Right,Central,2024,Q2,Novax,8,EPDM,2,0.75,893.0,559.0,1452.0,1.498,Pass
Left,South,2025,Q1,Honeywell,7,Composite,3,0.0,341.0,891.0,1232.0,1.694,Pass
Left,South,2025,Q3,3M,10,Composite,4,0.25,726.0,27.0,753.0,0.949,Pass
Right,North,2024,Q2,3M,10,EPDM,3,1.5,560.0,159.0,719.0,1.513,Pass
Left,Central,2023,Q3,3M,7,EPDM,2,3.25,951.0,190.0,1141.0,3.541,Fail
Left,North,2025,Q3,Honeywell,10,Composite,3,0.0,265.0,253.0,518.0,0.781,Pass
Right,South,2023,Q1,CATU,10,EPDM,4,1.75,1001.0,753.0,1754.0,3.099,Fail
Left,North,2025,Q3,3M,7,Composite,3,1.25,737.0,809.0,1546.0,1.888,Pass
Left,South,2024,Q1,Novax,7,Latex Rubber,4,0.25,889.0,138.0,1027.0,0.659,Pass
Right,South,2024,Q1,Honeywell,9,Composite,4,1.75,824.0,325.0,1149.0,2.35,Pass
Right,South,2023,Q1,3M,8,Composite,3,1.0,658.0,394.0,1052.0,1.637,Pass
Left,Central,2024,Q2,Honeywell,8,EPDM,4,1.5,1009.0,438.0,1447.0,2.741,Pass
Left,South,2024,Q4,Honeywell,7,EPDM,4,2.75,480.0,26.0,506.0,2.228,Pass
Right,North,2024,Q2,3M,7,Latex Rubber,2,2.0,699.0,877.0,1576.0,2.921,Pass
Right,South,2023,Q4,CATU,10,EPDM,2,0.5,709.0,604.0,1313.0,0.945,Pass
Right,North,2024,Q4,Novax,9,Composite,2,3.75,516.0,669.0,1185.0,4.373,Fail
Right,Central,2025,Q1,Honeywell,9,EPDM,2,2.5,1001.0,129.0,1130.0,2.61,Pass
Left,South,2023,Q3,Honeywell,7,Composite,4,3.0,1019.0,83.0,1102.0,3.291,Fail
Right,North,2023,Q1,CATU,10,Latex Rubber,3,0.25,813.0,862.0,1675.0,1.527,Pass
Right,North,2023,Q3,3M,10,EPDM,4,0.25,840.0,55.0,895.0,1.397,Pass
Left,South,2024,Q4,3M,8,EPDM,4,0.0,223.0,732.0,955.0,0.508,Pass
Right,South,2024,Q1,CATU,8,Composite,4,0.75,178.0,180.0,358.0,1.261,Pass
Left,South,2024,Q3,3M,10,EPDM,3,1.75,987.0,874.0,1861.0,2.759,Pass
Right,South,2023,Q2,3M,8,Latex Rubber,2,3.75,155.0,257.0,412.0,2.748,Pass
Right,Central,2024,Q3,Novax,7,Latex Rubber,4,1.75,525.0,250.0,775.0,2.309,Pass
Right,North,2024,Q1,Novax,10,Composite,4,1.25,1123.0,743.0,1866.0,2.051,Pass
Left,Central,2024,Q2,Honeywell,8,Composite,2,2.25,462.0,110.0,572.0,1.71,Pass
Left,North,2025,Q3,Novax,9,Latex Rubber,4,0.5,69.0,197.0,266.0,1.043,Pass
Right,South,2023,Q3,3M,10,Latex Rubber,3,2.5,537.0,320.0,857.0,3.495,Fail
Left,South,2024,Q3,Novax,10,Composite,4,2.25,1033.0,306.0,1339.0,2.674,Pass
Left,Central,2024,Q3,3M,9,EPDM,4,3.25,483.0,552.0,1035.0,3.315,Fail
Left,Central,2024,Q3,Novax,7,Composite,2,4.0,766.0,720.0,1486.0,3.784,Fail
Left,South,2024,Q2,Novax,9,Latex Rubber,4,1.0,791.0,783.0,1574.0,3.238,Fail
Left,North,2024,Q4,Honeywell,10,Composite,4,2.0,1112.0,272.0,1384.0,1.772,Pass
Left,South,2025,Q2,Novax,7,Composite,3,3.75,442.0,174.0,616.0,2.964,Pass
Right,Central,2023,Q2,Honeywell,8,Latex Rubber,2,3.25,1186.0,555.0,1741.0,2.842,Pass
Right,South,2023,Q2,CATU,8,Composite,2,2.0,410.0,459.0,869.0,0.929,Pass
Left,North,2024,Q4,CATU,8,EPDM,3,3.75,66.0,655.0,721.0,3.16,Fail
Right,South,2024,Q1,Honeywell,10,EPDM,4,0.25,1012.0,296.0,1308.0,1.684,Pass
Right,South,2023,Q4,3M,9,Composite,2,3.75,195.0,568.0,763.0,2.907,Pass
Right,South,2023,Q2,Honeywell,7,EPDM,2,0.25,407.0,803.0,1210.0,1.473,Pass
Right,South,2023,Q3,Novax,8,EPDM,4,2.25,614.0,805.0,1419.0,4.364,Fail
Left,South,2025,Q3,3M,7,Composite,4,3.5,797.0,145.0,942.0,2.944,Pass
Right,South,2023,Q2,Honeywell,10,EPDM,2,1.0,167.0,150.0,317.0,1.39,Pass
Right,North,2023,Q3,Novax,8,Latex Rubber,4,2.0,598.0,429.0,1027.0,2.0,Pass
Left,South,2023,Q2,Novax,10,Latex Rubber,2,1.25,475.0,318.0,793.0,1.849,Pass
Left,South,2024,Q3,Novax,9,Composite,4,3.75,455.0,188.0,643.0,2.822,Pass
Right,Central,2023,Q4,Honeywell,10,Composite,4,3.25,810.0,668.0,1478.0,3.212,Fail
Right,South,2024,Q1,Novax,10,Composite,3,2.75,1106.0,717.0,1823.0,4.363,Fail
Right,South,2023,Q1,Honeywell,9,EPDM,4,2.25,938.0,132.0,1070.0,3.089,Fail
Right,South,2025,Q4,3M,7,EPDM,3,3.25,26.0,291.0,317.0,2.441,Pass
Right,Central,2023,Q4,Honeywell,9,EPDM,4,1.5,740.0,827.0,1567.0,1.383,Pass
Right,North,2024,Q2,Honeywell,9,Composite,2,1.75,335.0,257.0,592.0,1.615,Pass
Left,South,2025,Q2,3M,10,Composite,2,3.0,1004.0,782.0,1786.0,4.909,Fail
Right,South,2024,Q2,Honeywell,7,EPDM,4,1.5,622.0,704.0,1326.0,2.203,Pass
Right,North,2024,Q3,Honeywell,8,EPDM,4,0.25,555.0,390.0,945.0,1.84,Pass
Left,South,2023,Q2,3M,9,Composite,2,0.25,605.0,234.0,839.0,1.914,Pass
Left,South,2023,Q4,Honeywell,7,EPDM,4,0.5,930.0,275.0,1205.0,1.769,Pass
Left,Central,2024,Q1,Honeywell,9,Composite,3,3.5,851.0,775.0,1626.0,3.267,Fail
Left,South,2025,Q3,Honeywell,9,Latex Rubber,3,2.0,353.0,815.0,1168.0,1.234,Pass
Right,Central,2024,Q2,3M,9,Latex Rubber,3,2.75,868.0,419.0,1287.0,3.313,Fail
Right,North,2024,Q3,3M,9,Composite,3,1.5,454.0,202.0,656.0,1.308,Pass
Right,Central,2024,Q3,CATU,10,Composite,3,1.0,231.0,327.0,558.0,1.44,Pass
Right,South,2024,Q2,Novax,7,EPDM,4,1.5,601.0,60.0,661.0,1.095,Pass
Right,North,2023,Q3,3M,7,Composite,4,3.25,1040.0,835.0,1875.0,3.642,Fail
Right,Central,2024,Q1,Honeywell,7,EPDM,3,2.5,1027.0,207.0,1234.0,2.802,Pass
Left,Central,2025,Q4,3M,9,Latex Rubber,4,3.75,25.0,787.0,812.0,3.228,Fail
Right,Central,2023,Q4,CATU,10,EPDM,4,2.75,533.0,625.0,1158.0,2.297,Pass
Left,South,2024,Q1,Novax,9,Latex Rubber,3,2.25,812.0,632.0,1444.0,3.436,Fail
Left,Central,2023,Q3,Honeywell,9,EPDM,4,2.5,30.0,608.0,638.0,1.951,Pass
Right,Central,2024,Q2,3M,7,Composite,4,3.75,237.0,142.0,379.0,1.866,Pass
Left,South,2023,Q3,CATU,9,EPDM,4,3.25,1017.0,426.0,1443.0,3.332,Fail
Right,Central,2024,Q1,3M,8,EPDM,3,0.0,818.0,819.0,1637.0,1.79,Pass
Left,North,2025,Q3,Honeywell,9,EPDM,4,2.25,1167.0,61.0,1228.0,2.723,Pass
Right,Central,2023,Q4,Honeywell,8,Composite,2,2.75,413.0,566.0,979.0,3.375,Fail
Left,North,2024,Q3,3M,9,Composite,2,3.0,1099.0,75.0,1174.0,2.888,Pass
Right,North,2025,Q1,CATU,10,Latex Rubber,3,0.75,446.0,598.0,1044.0,1.592,Pass
Right,Central,2025,Q4,CATU,10,Composite,2,3.5,838.0,376.0,1214.0,2.766,Pass
Right,Central,2023,Q3,Novax,7,Latex Rubber,3,3.75,943.0,621.0,1564.0,4.18,Fail
Right,South,2024,Q3,Novax,9,Latex Rubber,2,1.0,268.0,604.0,872.0,1.727,Pass
Right,Central,2023,Q4,3M,8,Latex Rubber,2,3.5,112.0,518.0,630.0,2.582,Pass
Left,South,2025,Q2,Honeywell,8,EPDM,2,0.5,1002.0,876.0,1878.0,1.313,Pass
Left,South,2025,Q4,CATU,9,EPDM,3,0.25,778.0,88.0,866.0,1.939,Pass
Left,North,2024,Q2,CATU,8,Latex Rubber,3,0.5,1134.0,47.0,1181.0,1.024,Pass
Right,South,2025,Q1,Honeywell,10,Composite,4,0.25,822.0,670.0,1492.0,1.485,Pass
Left,North,2024,Q1,Novax,8,EPDM,3,3.5,235.0,843.0,1078.0,3.374,Fail
Right,South,2024,Q4,Novax,7,EPDM,2,0.25,952.0,610.0,1562.0,1.245,Pass
Right,North,2023,Q4,Honeywell,10,EPDM,2,1.0,472.0,814.0,1286.0,1.261,Pass
Left,Central,2025,Q1,CATU,10,EPDM,3,0.5,246.0,137.0,383.0,0.05,Pass
Left,North,2023,Q2,Honeywell,10,Composite,3,1.25,1059.0,399.0,1458.0,2.66,Pass
Right,South,2025,Q1,CATU,9,EPDM,3,0.25,1154.0,69.0,1223.0,1.266,Pass
Left,Central,2025,Q4,Honeywell,9,Latex Rubber,4,2.75,515.0,294.0,809.0,4.004,Fail
Right,South,2024,Q1,CATU,10,Composite,2,0.5,823.0,380.0,1203.0,1.161,Pass
Right,North,2023,Q4,Honeywell,9,Latex Rubber,4,3.5,776.0,773.0,1549.0,3.158,Fail
Right,South,2023,Q4,3M,8,EPDM,4,3.25,643.0,471.0,1114.0,2.807,Pass
Right,North,2023,Q1,3M,9,Latex Rubber,2,0.0,1000.0,217.0,1217.0,1.517,Pass
Right,South,2024,Q2,Novax,9,EPDM,2,3.5,627.0,152.0,779.0,2.691,Pass
Left,North,2023,Q3,3M,10,Latex Rubber,3,0.0,282.0,577.0,859.0,1.379,Pass
Left,North,2025,Q1,Honeywell,7,Composite,3,1.0,241.0,475.0,716.0,1.005,Pass
Right,North,2024,Q3,3M,7,Latex Rubber,4,0.25,777.0,153.0,930.0,0.584,Pass
Right,Central,2023,Q1,3M,7,Composite,3,1.25,505.0,92.0,597.0,0.626,Pass
Left,South,2024,Q3,3M,8,Latex Rubber,3,2.0,1057.0,328.0,1385.0,1.535,Pass
Left,North,2024,Q2,3M,9,Latex Rubber,2,3.25,1142.0,899.0,2041.0,3.665,Fail
Right,South,2024,Q2,Novax,7,Composite,2,1.25,511.0,400.0,911.0,1.657,Pass
Left,Central,2024,Q1,CATU,10,Composite,3,2.75,34.0,794.0,828.0,2.242,Pass
Right,Central,2025,Q4,Novax,7,Latex Rubber,2,0.75,297.0,408.0,705.0,1.969,Pass
Left,Central,2024,Q3,Honeywell,7,Composite,3,3.0,347.0,86.0,433.0,2.954,Pass
Right,Central,2025,Q4,CATU,9,Latex Rubber,2,1.0,1070.0,645.0,1715.0,2.226,Pass
Left,South,2025,Q4,Honeywell,9,Composite,2,0.5,146.0,290.0,436.0,0.07,Pass
Right,North,2023,Q4,Honeywell,9,Composite,2,0.75,517.0,386.0,903.0,1.242,Pass
Left,North,2025,Q2,Honeywell,8,Latex Rubber,2,0.75,236.0,869.0,1105.0,1.407,Pass
Left,South,2023,Q1,CATU,8,EPDM,3,2.0,329.0,796.0,1125.0,2.084,Pass
Right,South,2025,Q1,CATU,7,Latex Rubber,4,3.5,925.0,274.0,1199.0,2.955,Pass
Left,Central,2024,Q2,Novax,9,Composite,2,0.25,95.0,296.0,391.0,0.463,Pass
Right,North,2025,Q2,Novax,7,EPDM,3,2.75,935.0,457.0,1392.0,2.872,Pass
Left,South,2025,Q1,Novax,10,EPDM,3,2.5,62.0,719.0,781.0,2.06,Pass
Right,Central,2025,Q4,CATU,10,EPDM,2,3.5,869.0,28.0,897.0,3.136,Fail
Left,North,2025,Q3,Honeywell,9,EPDM,4,1.0,876.0,867.0,1743.0,2.599,Pass
Right,North,2023,Q3,Honeywell,9,EPDM,2,1.75,442.0,315.0,757.0,1.488,Pass
Left,South,2023,Q3,Honeywell,10,EPDM,3,3.75,1008.0,465.0,1473.0,4.324,Fail
Right,South,2024,Q4,3M,9,Composite,4,2.75,109.0,212.0,321.0,1.611,Pass
Left,North,2023,Q1,Honeywell,8,Latex Rubber,3,1.5,999.0,796.0,1795.0,1.932,Pass
Right,North,2024,Q2,3M,8,Composite,2,0.5,608.0,721.0,1329.0,1.961,Pass
Right,North,2023,Q1,CATU,9,EPDM,4,1.0,412.0,668.0,1080.0,1.413,Pass
Right,South,2025,Q4,Novax,10,Composite,3,2.25,405.0,442.0,847.0,2.46,Pass
Left,North,2024,Q2,3M,7,EPDM,3,2.75,424.0,542.0,966.0,1.48,Pass
Right,North,2025,Q4,3M,9,EPDM,3,0.5,948.0,710.0,1658.0,2.763,Pass
Left,South,2023,Q3,3M,9,Composite,2,2.5,686.0,340.0,1026.0,2.935,Pass
Right,North,2025,Q3,Novax,7,Composite,4,2.25,472.0,426.0,898.0,1.595,Pass
Left,South,2025,Q4,Honeywell,9,Composite,2,2.0,550.0,754.0,1304.0,1.834,Pass
Right,North,2024,Q2,CATU,7,EPDM,2,2.75,1163.0,325.0,1488.0,3.988,Fail
Left,North,2024,Q2,Novax,10,Latex Rubber,2,3.25,93.0,501.0,594.0,2.253,Pass
Left,North,2025,Q1,Novax,8,Composite,4,1.25,280.0,591.0,871.0,1.354,Pass
Right,South,2023,Q3,CATU,10,EPDM,2,3.5,253.0,167.0,420.0,1.47,Pass
Left,South,2024,Q1,Honeywell,8,Composite,2,0.75,397.0,815.0,1212.0,1.628,Pass
Left,South,2024,Q1,Honeywell,7,EPDM,2,0.75,223.0,545.0,768.0,1.29,Pass
Right,Central,2023,Q4,Honeywell,8,Latex Rubber,2,1.0,827.0,169.0,996.0,2.104,Pass
Left,South,2024,Q4,3M,10,Composite,3,0.5,1199.0,853.0,2052.0,1.722,Pass
Left,North,2023,Q1,Novax,8,EPDM,2,1.0,68.0,702.0,770.0,0.783,Pass
Left,North,2023,Q3,Honeywell,7,Composite,3,0.5,892.0,570.0,1462.0,2.116,Pass
Right,South,2023,Q4,CATU,8,Composite,2,3.25,852.0,299.0,1151.0,3.627,Fail
Left,North,2025,Q1,CATU,9,Composite,4,0.5,933.0,46.0,979.0,0.671,Pass
Right,North,2024,Q1,3M,10,Composite,3,3.0,132.0,289.0,421.0,2.87,Pass
Left,North,2025,Q1,3M,9,EPDM,3,0.25,1172.0,391.0,1563.0,1.863,Pass
Left,North,2024,Q1,Honeywell,7,EPDM,3,3.75,448.0,142.0,590.0,3.439,Fail
Left,North,2023,Q1,3M,8,EPDM,3,2.75,1031.0,191.0,1222.0,2.877,Pass
Right,South,2024,Q1,CATU,9,Composite,4,0.0,571.0,720.0,1291.0,0.201,Pass
Left,Central,2024,Q4,Honeywell,9,Composite,2,3.0,127.0,435.0,562.0,2.38,Pass
Left,South,2023,Q3,3M,8,EPDM,3,2.0,914.0,558.0,1472.0,3.255,Fail
Right,South,2024,Q1,Novax,8,Latex Rubber,4,3.0,404.0,866.0,1270.0,2.646,Pass
Left,Central,2023,Q2,3M,10,Composite,3,2.0,885.0,420.0,1305.0,2.381,Pass
Right,North,2024,Q4,CATU,9,Latex Rubber,2,2.5,944.0,804.0,1748.0,3.16,Fail
Right,Central,2024,Q4,CATU,9,EPDM,3,3.25,1111.0,430.0,1541.0,2.025,Pass
Left,South,2023,Q1,3M,7,EPDM,4,1.5,961.0,420.0,1381.0,3.204,Fail
Right,North,2023,Q4,3M,10,EPDM,2,0.0,84.0,30.0,114.0,0.05,Pass
Left,South,2025,Q1,Honeywell,7,Composite,4,3.5,304.0,375.0,679.0,3.089,Fail
Right,Central,2024,Q3,Novax,9,Composite,2,1.5,30.0,389.0,419.0,1.459,Pass
Right,South,2023,Q3,3M,7,EPDM,2,2.0,1048.0,60.0,1108.0,3.026,Fail
Left,Central,2025,Q4,Honeywell,9,Composite,2,0.0,569.0,257.0,826.0,1.246,Pass
Right,North,2023,Q4,Honeywell,9,Latex Rubber,3,2.0,1119.0,638.0,1757.0,2.864,Pass
Right,South,2024,Q2,Novax,7,EPDM,4,4.0,1182.0,110.0,1292.0,3.216,Fail
Right,South,2025,Q4,CATU,7,Composite,4,1.0,381.0,134.0,515.0,1.712,Pass
Right,North,2023,Q2,CATU,8,EPDM,4,1.5,827.0,853.0,1680.0,1.7,Pass
Right,South,2023,Q3,CATU,8,Composite,2,2.75,1184.0,674.0,1858.0,3.808,Fail
Left,Central,2023,Q3,Honeywell,8,EPDM,3,3.25,1174.0,380.0,1554.0,2.937,Pass
Right,South,2023,Q1,Novax,9,EPDM,2,1.75,1102.0,747.0,1849.0,3.553,Fail
Left,South,2023,Q3,3M,7,Latex Rubber,4,1.25,855.0,312.0,1167.0,2.118,Pass
Right,Central,2024,Q2,CATU,10,Latex Rubber,3,3.75,530.0,95.0,625.0,3.247,Fail
Left,North,2023,Q4,Novax,9,EPDM,3,2.75,380.0,397.0,777.0,2.553,Pass
Left,North,2024,Q1,Novax,10,EPDM,3,0.5,110.0,538.0,648.0,0.282,Pass
Right,Central,2025,Q2,Novax,7,Latex Rubber,4,0.25,670.0,806.0,1476.0,1.336,Pass
Right,South,2025,Q4,Honeywell,9,Composite,3,2.0,977.0,114.0,1091.0,2.718,Pass
Right,North,2024,Q1,CATU,10,Composite,3,1.0,252.0,565.0,817.0,1.669,Pass
Left,North,2023,Q3,Honeywell,10,Composite,2,1.0,762.0,645.0,1407.0,2.707,Pass
Right,South,2024,Q2,Honeywell,8,Composite,2,3.5,521.0,589.0,1110.0,3.426,Fail
Left,South,2024,Q4,3M,8,EPDM,3,0.25,858.0,344.0,1202.0,1.036,Pass
Left,Central,2024,Q1,Honeywell,8,EPDM,3,2.75,564.0,569.0,1133.0,2.434,Pass
Left,North,2023,Q1,Honeywell,9,EPDM,2,1.0,1128.0,360.0,1488.0,2.241,Pass
Right,North,2025,Q3,3M,7,Composite,2,3.0,235.0,896.0,1131.0,1.811,Pass
Right,North,2024,Q4,Honeywell,7,EPDM,2,3.0,223.0,172.0,395.0,3.142,Fail
Left,South,2023,Q3,Honeywell,8,Composite,4,0.0,727.0,561.0,1288.0,1.68,Pass
Left,North,2024,Q3,Novax,8,EPDM,4,2.0,76.0,456.0,532.0,2.492,Pass
Right,South,2024,Q4,3M,8,EPDM,2,0.5,405.0,109.0,514.0,0.247,Pass
Left,North,2025,Q4,CATU,10,Composite,3,3.5,621.0,154.0,775.0,3.545,Fail
Right,South,2024,Q4,Honeywell,8,Composite,2,3.5,1045.0,150.0,1195.0,4.416,Fail
Left,South,2025,Q2,CATU,10,Composite,4,1.75,779.0,720.0,1499.0,1.951,Pass
Right,South,2023,Q4,Honeywell,7,Latex Rubber,3,1.75,416.0,878.0,1294.0,2.813,Pass
Left,North,2024,Q1,Honeywell,9,Latex Rubber,4,1.25,934.0,303.0,1237.0,2.101,Pass
